,title,company,link,task,qualification,preferred
200,Business Analyst,트렌비,https://www.wanted.co.kr/wd/71101,"• 비즈니스 의사결정 시스템의 효율을 높히기 위한 데이터 분석 활동
• 도메인 데이터 분석을 통한 주요 인사이트와 지표 개발/고도화/제시
• 이커머스  관련 대규모의 (비)정형 데이터를 분석하여 비용 및 생산성 개선 지원
• 데이터 엔지니어, 데이터 사이언티스트를 비롯한 각종 유관 부서와 협업하여 개선 기회 모색 및 운영 생산성 최적화
• 정량적 분석을 수행하여 발생하는 이슈의 근본 원인을 발견하고 데이터를 기반으로 한 솔루션을 제공
• 새로운 비지니스 아이디어 및 전략 도입을 위한 테스트를 설계, 시행 및 분석하여 구체적인 개선안 제공
• 비즈니스 핵심 지표의 설계 및 개발, 비즈니스 인사이트 제공을 위한 자동화된 대시보드 생성, 대시보드 트랙킹 및 유의미한 인사이트의 추출을 위한 데이터 시각화 작업
• 설득력 있는 스토리를 바탕으로 논리적인 솔루션 제시, 데이터를 기반으로 한 액션 시행
• 정기적인 분석을 자동화하여 의사결정의 효율성 제고","• 컴퓨터 공학, 수학, 공학 또는 이에 준하는 관련 분야 학사 학위
• 데이터 정량 분석 경험 (3-5년)
• 중급 이상 SQL 활용 능력 (데이터 추출, 쿼리 작성 등)
• Python, R 등 프로그래밍 언어 사용 경험
• 다양한 이해관계자와 효율적으로 커뮤니케이션을 진행할 수 있는 분
• 데이터 분석 및 이해에 대한 열정, 창의적 사고 및 문제해결 능력은 필수
• 데이터 분석 프로젝트를 도입하고 이끌어 실행 가능한 인사이트와 권고사항을 만들어본 분
• 한국어 능통하신 분","•통계학, OR (Operation Research), 컴퓨터 공학, 정보학, 공학, 응용수학, 경제학 등 수학 관련 분야 석사 학위 소지자 
• 이커머스 경험
• BigData Platform, Data Warehouse, Data Migration 관련 툴과 프레임워크 등 데이터 플랫폼 구성요소의 설계, 개발, 운영 관련 경험
• 대규모 데이터 처리 경험
• Tableau, Power BI 등 데이터 시각화 툴의 사용 경험
• 중급 이상 MS Excel 활용 능력
• 경영진을 포함한 다양한 이해관계자를 대상으로 복잡한 문제를 단순화하여 설명 및 전달할 수 있는 뛰어난 커뮤니케이션 능력"
201,[LG협력사] 광고/마케팅 데이터분석,아티언스,https://www.wanted.co.kr/wd/62173,"• GA360을 활용한 광고/마케팅 데이터 분석
• 광고 채널별 실적 분석 및 인사이트 발굴
• 개인화 마케팅을 위한 Segment 개발","• Google Analytics를 1년 이상 사용해 본 경험이 있으신 분
• SQL을 활용하여 Query 작성이 가능하신 분
• Python, R과 같은 통계 분석 툴 활용이 가능하신 분
• 새로운 마케팅 툴을 배우고 활용하는데 익숙하신 분","• 웹로그 솔루션(Google Analytics, Adobe Analytics 등)을 사용해보신 분
• 데이터 시각화 툴(Tableau, Data Studio)을 다루어 보신 분
• 1년 이상 디지털 캠페인 경험이 있으신 분"
202,[아임포트] Data Analyst,차이코퍼레이션,https://www.wanted.co.kr/wd/69476,"• 단기, 중/장기 사업 전략 수립 및 실행에 필요한 데이터 추출, 분석, 인사이트 도출 및 관리
• 영업, CS, 마케팅, 재무 부서와 긴밀히 협업하며 사업 성장에 필요한 데이터 추출, 분석, 인사이트 도출 및 관리
• 월/분기 단위 주요 성과 지표 관리 및 사업 추진 방향에 대한 인사이트 도출
• 미시적인 관점에서는 다양한 가맹점을, 거시적인 관점으로는 다양한 사업 모델, 결제 모델 및 산업/마켓 상황에 대한 분석 및 인사이트 도출","• 데이터 분석 전문성
• SQL, Python 숙련도","• Jupyter Notebook, Looker, Tableau, Microsoft Suite, G Suite 활용 능력
• 핀테크 사업에 대한 관심과 경험
• 사업 전략 수립의 시발점에 서있는 Role인 만큼, 단순 데이터 추출을 넘어, 다각화된 분석을 통한 전략적 인사이트 도출/사고 능력"
203,사업전략파트 전자출결(서비스비즈) 사업 담당자,키즈노트,https://www.wanted.co.kr/wd/19851,"• 전자출결 사업 운영 담당(파트너사 관리, 수익 정산, 신규 고객 창출, 사업 관련 이슈 대응 등)
• 교사 전자출결, 스마트 체온계 상품 등 IoT상품과 원홈페이지 등 키즈노트의 B2B 대상 서비스 수익 사업 디벨롭 및 신규 개발
• 담당 사업 성장 위한 액션

* 전자출결사업이란 : 보건복지부에서 진행하는 어린이집 전자출결사업의 일환으로 원과 아이에게 배포된 IoT장비를 통해 출결이 자동 수집되고, 수집된 출결데이터를 기반으로 보육료를 산정하는 사업으로 키즈노트는 출결데이터 관리 및 학부모 알림, 보건복지부로 데이터 전송 등의 역할을 하고 있습니다.","- 경력 2년 이상
- 사업 목표 및 KPI를 설정하고 달성하는 역량
- 내실 있는 사업 운영을 위해 꼼꼼하고 디테일에 강하신 분 
- 논리적인 사고를 기반으로 사업 기회를 창출하는 분 
- 급변하는 시장 대응 위한 빠른 실행력과 다양한 업무에 대한 적응력/수용력을 가지신 분 
- 영유아 및 IT서비스 시장에 대한 관심 및 문제의식을 가지신 분
- 서비스/디자인/개발 등 내부 유관부서 및 파트너사, 고객 등과 원활한 커뮤니케이션 및 협업 가능하신 분  
- 회사의 성장과 함께 성장하고자 하는 의지가 강하신 분","• 어린이집/유치원/학원/학교 등 관련 서비스 사업기획 경험 
• 데이터 수집 설계 및 분석/해석 능력(GA, 파이썬 등 세팅 및 활용 경험) 
• 사업 성장을 위한 그로스해킹, 퍼포먼스 마케팅 경험 
• 브랜딩 관점에서 고객 메시지 작성 및 관리 경험 
• 외국어 능력(영어, 일어 등)"
204,Strategic Plan - 전략 기획,포비즈코리아,https://www.wanted.co.kr/wd/65040,"• 시장 및 데이터 분석을 통한 서비스/사업 개선 인사이트 도출 (in-house consulting)
• 리서치 : 성장 전략, 재무 전략 수립과 실행에 필요한 리서치
• 마케팅 : 마케팅 전략 / 실행 / 분석 참여
• 중장기 사업계획 및 비즈니스 제안서 작성 및 디자인
• 손익분석
• 글로벌 조직과 커뮤니케이션","• Excellent English and / or Chinese
• Challenging attitude
• Analytic research 사용 경험자 
• MS office 중급 이상
• 창업경험 preferred
• E-commerce, Software 경력 preferred
• 경영기획, 연간사업계획, 예산계획 경력 preferred","• 이커머스, SaaS 관련 업종 경력 혹은 서비스 지식 보유 하신분"
205,Business Data Analyst,"브레이브모바일(숨고,Soomgo)",https://www.wanted.co.kr/wd/20147,"[숨고 Business Data Analyst]
숨고는 데이터 기반 의사결정을 중요하게 생각하며, 의사결정을 도울 데이터를 수집하는데 많은 투자를 진행해왔습니다. 지난 3년간 200만 이상 사용자의 데이터 정보를 수집했으며, 수집된 데이터를 활용해서 비즈니스 성장을 이끌 인사이트를 제공해줄 데이터 애널리스트를 찾고 있습니다.

[숨고 데이터 애널리스트가 고민할 이슈 예제]
• 신규 가입한 고수가 가장 빠르게 hire 시킬 수 있는 방안 도출
• 신규 도입한 서비스의 요청서 질문의 A/B Test를 어떻게 적용해야 하는가?
• 재결제하는 고수의 행동 패턴 도출
• 고객이 고수를 선택할 때 가장 중요한 요소는?
• 고수의 첫 결제를 유도할 수 있는 적정 고객 수는?","• SQL로 원하는 데이터를 추출 가능
• Data Taxonomy 설계 / 구축 경험
• Web + App Event Tracker 셋팅 / 구축 경험 (Google Analytics, Google Tag Manager, Firebase, Amplitude, Segment, 등)
• Behavior Data 분석 경험 (Google Analytics, Firebase, Amplitude, 등)
• 다양한 A/B Test를 비즈니스에 적용하고 개선한 경험 (Google Optimize, Optimizely, 등)","• Python 또는 R 을 사용하여 데이터 분석에 활용 가능
• 경영학, 통계학, 경제학, data analysis 등 관련 전공 또는 데이터 분석 관련 경력 있으신 분
• O2O 및 플랫폼 비즈니스 경험"
206,Data Operation Manager,슈퍼브에이아이(Superb AI),https://www.wanted.co.kr/wd/62861,"**AI 모델에 대한 이해를 바탕으로 고객 데이터셋 설계 및 가공/ 검수 프로젝트 운영**

• 업무분야 : Computer Vision 분야 Data-set 설계/구축/검수/관리를 위한 실행계획 수립/실행 및 분석
• 프로젝트 설계 : AI Project Scope에 대한 이해 및 고객의 요구사항 분석을 통한 Data 스펙 설계/ 구체화
• 프로젝트 계획 수립 : AI Data에 대한 Business Analysis 기반의 효율적인 수행 계획 수립
• 프로젝트 수행 : 국/내외 이해관계자 및 파트너(3rd-party)와의 협업 기반의 수행 및 리소스 관리","• AI, Data B2B/B2G 프로젝트 수행 관리 경험 (6개월 이상 ~ 5년 이하)
• AI 기술에 대한 배경 지식/경험 또는 매우 높은 수준의 학습 능력
• AI, Data Project 별 Business (BEP 등) Analysis 수행 경험 보유
• 영어 커뮤니케이션 능력 (Native 수준의 Business 소통 가능)
• 다양한 Domain의 데이터 가공 경험 및 도구 사용 역량","• AI Data Operation 경험자
• 영어권 해외 유학을 통해 학업 수료 하신 분
• 인공지능 산업 내 유관 직무 경험
• AI, IT 그 외 업무에 관련한 자격 보유자"
207,데이터 분석가 (Data Analyst),와이즐리,https://www.wanted.co.kr/wd/39858,"• 팀 전체가 Data-driven 의사결정을 내릴 수 있도록 정량적 수치와 분석 결과를 제공합니다.
• 데이터 분석 결과에 기반해 고객 경험의 문제를 진단하거나, 개선 기회들을 발굴하고, 이를 해결합니다.
• 고객 여정 전반에서 수집되는 Raw Data를 정제/가공/적재하며, 와이즐리 전체 팀원에게 인사이트가 전달될 수 있도록 리포트 작성과 대시보드, 데이터 관련 프로덕트를 제작합니다.
• 데이터 파이프라인 관리, 분석용 DB 구축 등 분석을 위한 환경을 구축하고, 개선합니다.
• 팀원의 Data 역량 증진을 위해 전사적인 코칭 프로그램을 운영합니다.","• SQL을 사용한 Raw Data 핸들링 역량이 필요합니다.
• A/B Test 및 서비스 데이터 분석 방법(LTV, Funnel, Cohort 등)에 대한 이해도가 필요합니다.
• 기본적인 통계학, 실험 방법론 등에 대한 이해가 필요합니다.
• 데이터 분석 결과를 넘어 주도적으로 액션을 제시할 수 있는 역량이나 경험이 필요합니다.
• 상기 관련 업무에 대한 경력이 2년 이상 필요합니다.


분석용 데이터베이스로 BigQuery를 사용하고 있습니다. 데이터 추출을 위해 주로 SQL을 사용하며, 추가적인 분석을 위해서는 개인의 선호에 따라 R과 Python을 모두 활용할 수 있습니다.","• 다양한 직군의 동료들과 함께 서비스나 업무프로세스에 실질적인 변화를 만들어 본 경험이 있는 분이면 좋습니다.
• A/B Test, UT, FGI,Survey 등 가설 검증을 위해 다양한 데이터를 수집하고 분석한 경험이 있는 분이면 좋습니다.
• Google Analytics, BigQuery 등 로그분석 툴 사용 경험이 있는 분이면 좋습니다.
• Data warehouse 구축이나 관리한 경험이 있는 분이면 좋습니다.
• Data Studio, Tableau, Redash 등 BI 툴/프로그램 사용 경험이 있는 분이면 좋습니다.
• 커머스, 생활 소비재 관련한 분석 경험이 있으면 좋습니다."
208,User Researcher (UX Researcher),딜리셔스(신상마켓),https://www.wanted.co.kr/wd/38879,"• 고객경험 개선을 위한 리서치 계획/설계 수립 및 실행, 개선안 제안 (UT, Survey, IDI, FGI 등)
• 리서치를 통한 사용자 행동 관찰 및 측정 결과 데이터 분석 후, 인사이트 공유 및 개선안 제안
• 제품을 사용하는 고객 여정의 Pain Point 및 니즈 도출/검증을 위한 데이터 수집 및 분석","• Product 및 서비스 UX Research 관련 실무 경력 3년 이상
• 고객과 고객의 제품 경험에  대한 이해와 서비스 분석/개선 과정 전반의 높은 이해 및 경험
• 주도적으로 목표/가설, 과정/산출물을 정의하고 논리적 커뮤니케이션을 통해 실행하는 역량
• 온라인서베이 및 인터뷰, UT 등 조사방법론에 대한 이해 및 실무경험
• 비즈니스 관점의 목표를 이해하고 솔루션을 제시하여 고객 경험 향상에 기여한 경험이 있으신 분","• 다양한 고객 리서치를 직접 설계하고 실행해 보신 분(UT, Survey, Interview)
• 모바일 서비스 기획/출시/운영 혹은 디자인 경험이 있으신 분
• 인지 심리, HCI 등 UX 관련 전공자 또는 그에 준하는 경험과 지식이 있으신 분"
209,[망고플레이트] 운영 팀장,여기어때컴퍼니,https://www.wanted.co.kr/wd/61866,"- 망고플레이트 서비스 운영 총괄
- 법무, 회계, 재무, CS 등의 운영 업무 총괄
- KPI 수립 및 KPI 기반의 사업 관리
- 외부 업체, 정부 등의 외부 파트너십 관리","- 경력 10년 이상
- 협업부서(영업/마케팅/개발)및 외부(정부/업체)와의 소통 능력
- 데이터를 활용한 성과 측정 및 분석 능력
- 복잡한 문제를 체계적으로 정리 추진하는 능력
- 조직 관리, 팀셋업 경험자","- 식음료와 요식업에 대한 높은 이해도
- 스타트업 경영진(COO), 대기업, 컨설팅 회사 출신
- 창업 경험자"
210,[경영전략실] 전략기획 담당,여기어때컴퍼니,https://www.wanted.co.kr/wd/36006,"[팀 소개] 
경영전략실 VC(Value Creation)전략팀은 여기어때 전사 및 사업부의 경영계획 수립,
성과지표(KPI) 및 실적 관리, 중장기 전략 수립 등을 수행하는 팀입니다.
또한 M&A를 포함한 신규 사업기회 검토와 주주사 대응(IR) 업무도 
함께 수행하고 있습니다.  

[담당업무]
- 여기어때 서비스/사업/전사 전략 및 경영계획 수립
- 데이터 분석을 통한 서비스/사업 개선 인사이트 도출 (in-house consulting)
- 주주사(외국계 PE) 대상 커뮤니케이션(reporting)
- 신규 사업기회 검토 및 M&A","* 다음 중 최소 2개 이상 요건 충족 시 지원 가능
- 전사/사업부 level 전략(단기 경영계획 및 중장기 전략) 수립 경험을 보유하신 분
- 국내외 사모펀드(PE) 또는 주주사(그룹 지주사 등) 대상 리포팅 및 IR 경험을 보유하신 분
- PPT 및 Excel 기반 보고서 작성(documentation) 역량이 뛰어나신 분
- 최소 3년 이상의 데이터 분석 실무 경험을 보유하신 분","* 3~5년차의 경우 최소 1개 이상, 6~15년차의 경우 2개 이상 충족 시 채용 우대
- 숙박 OTA, O2O, 커머스, 모바일 서비스 등 다양한 산업에서 전사/사업 전략 수립 경험이 있으신 분
- 국내외 전략 컨설팅펌 근무 또는 대기업/스타트업 전략기획/사업관리 담당 경력이 있으신 분
- 영문 보고서(ppt) documentation 및 PT 역량이 뛰어나신 분
- 기업가치평가(Valuation), 재무/사업 실사 등 M&A 경험을 보유하신 분(인수측/매각측 모두 가능)
- Excel 기반 모델링 또는 SQL, Tableau, GA 등 데이터 추출/분석/시각화 툴 활용 역량이 뛰어나신 분
- 회계원리, 또는 그 이상의 재무적 지식을 보유하신 분"
